,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
849,0.38,Ideal,D,VS1,62.2,57.0,4.66,4.63,2.89,692.4223619735212
850,0.81,Premium,F,SI1,61.9,58.0,5.99,5.96,3.7,4028.944055842923
851,1.47,Very Good,H,SI2,59.1,56.0,7.46,7.51,4.42,9150.11688829363
852,1.01,Good,F,SI2,62.5,59.0,6.31,6.37,3.96,5580.814611131016
853,1.24,Fair,G,SI2,65.7,57.0,6.72,6.68,4.4,7365.465749712324
854,0.72,Very Good,G,SI2,62.5,56.0,5.68,5.71,3.56,3330.6023059632803
855,0.51,Ideal,F,VS1,60.4,56.0,5.18,5.21,3.14,1701.1382229107821
856,0.33,Ideal,J,VVS1,62.1,54.0,4.45,4.47,2.77,304.45472315149755
857,2.03,Ideal,G,SI1,60.0,55.8,8.17,8.3,4.95,13495.354443100292
858,0.39,Very Good,J,VVS1,57.8,59.0,4.85,4.9,2.82,770.015889737926
859,0.3,Very Good,G,VS2,60.8,61.0,4.31,4.34,2.63,71.67413985828352
860,0.55,Ideal,D,VS2,58.5,58.0,5.42,5.39,3.16,2011.512333968401
861,1.0,Premium,E,I1,62.3,58.0,6.38,6.33,3.96,5503.221083366612
862,2.0,Good,I,VS2,63.6,60.0,8.03,7.95,5.08,13262.57385980708
863,1.0,Good,D,SI1,63.8,53.0,6.35,6.4,4.07,5503.221083366612
864,0.32,Ideal,J,VS1,62.0,54.7,4.39,4.42,2.73,226.86119538709318
865,0.4,Premium,G,VS1,60.7,58.0,4.81,4.78,2.91,847.6094175023304
866,1.01,Good,D,SI1,64.1,60.0,6.3,6.27,4.03,5580.814611131016
867,0.3,Very Good,H,SI1,63.0,54.0,4.27,4.3,2.7,71.67413985828352
868,0.7,Very Good,H,SI1,58.5,65.0,5.81,5.84,3.41,3175.4152504344706
869,0.71,Very Good,E,VVS1,62.8,59.0,5.66,5.71,3.57,3253.0087781988755
870,0.83,Ideal,E,SI1,61.5,55.0,6.05,6.08,3.73,4184.131111371731
871,0.31,Ideal,I,VVS1,62.1,56.0,4.38,4.35,2.71,149.26766762268835
872,0.71,Premium,E,VS2,62.1,59.0,5.68,5.72,3.54,3253.0087781988755
873,0.91,Very Good,H,VS1,62.7,63.0,6.1,6.03,3.8,4804.87933348697
874,0.9,Premium,G,VS2,62.0,60.0,6.19,6.14,3.82,4727.285805722566
875,0.41,Premium,G,VS1,61.9,60.0,4.76,4.7,2.93,925.2029452667348
876,0.41,Premium,F,VVS2,60.1,59.0,4.79,4.82,2.89,925.2029452667348
877,0.7,Very Good,F,SI1,59.2,60.0,5.77,5.79,3.42,3175.4152504344706
878,1.02,Ideal,I,VS2,62.7,56.0,6.37,6.43,4.01,5658.408138895422
879,0.71,Ideal,G,SI2,61.5,55.0,5.74,5.78,3.54,3253.0087781988755
880,0.51,Ideal,D,VS2,62.7,55.0,5.12,5.09,3.2,1701.1382229107821
881,1.03,Ideal,G,VVS2,61.6,56.0,6.48,6.5,4.0,5736.001666659826
882,0.9,Very Good,G,VVS1,62.3,58.0,6.14,6.21,3.85,4727.285805722566
883,0.3,Ideal,D,VS2,61.1,56.0,4.36,4.32,2.65,71.67413985828352
884,1.05,Very Good,G,VS2,61.7,55.0,6.5,6.56,4.03,5891.188722188635
885,1.3,Ideal,H,VVS2,61.5,55.0,7.07,7.03,4.34,7831.0269162987515
886,0.36,Ideal,G,VVS1,62.8,57.0,4.55,4.52,2.85,537.2353064447116
887,0.51,Very Good,G,VVS1,62.9,57.0,5.08,5.12,3.21,1701.1382229107821
888,1.08,Very Good,J,SI2,63.2,59.0,6.57,6.4,4.1,6123.969305481849
889,2.2,Premium,I,VS2,62.0,57.0,8.38,8.34,5.18,14814.444415095175
890,0.3,Ideal,F,IF,62.1,57.0,4.29,4.31,2.67,71.67413985828352
891,0.3,Very Good,E,VVS2,62.9,55.0,4.25,4.27,2.68,71.67413985828352
892,1.46,Premium,D,SI2,62.0,55.0,7.32,7.23,4.51,9072.523360529227
893,0.54,Ideal,G,VS1,60.1,57.0,5.29,5.31,3.18,1933.9188062039962
894,0.58,Very Good,E,SI1,59.6,57.0,5.41,5.42,3.23,2244.2929172616145
895,2.01,Premium,I,SI1,61.3,60.0,8.09,8.05,4.95,13340.167387571484
896,0.43,Very Good,D,SI1,62.9,56.0,4.78,4.83,3.02,1080.3900007955444
897,2.3,Ideal,H,SI2,61.6,56.0,8.48,8.52,5.24,15590.379692739218
898,0.91,Premium,I,VS1,61.9,57.0,6.24,6.19,3.85,4804.87933348697
899,0.4,Ideal,F,SI2,62.0,57.0,4.7,4.72,2.92,847.6094175023304
900,1.0,Ideal,E,SI1,61.6,57.0,6.37,6.45,3.95,5503.221083366612
901,0.41,Premium,G,VS2,61.9,59.0,4.77,4.73,2.94,925.2029452667348
902,0.35,Ideal,H,VVS1,60.5,57.0,4.58,4.59,2.77,459.64177868030674
903,1.1,Very Good,G,IF,60.5,55.0,6.77,6.71,4.08,6279.156361010659
904,0.3,Premium,G,SI1,62.5,61.0,4.29,4.26,2.67,71.67413985828352
905,0.31,Ideal,G,VVS2,60.8,56.0,4.41,4.44,2.69,149.26766762268835
906,0.94,Premium,F,SI2,62.4,58.0,6.23,6.17,3.87,5037.659916780183
907,0.72,Good,G,SI2,63.7,59.0,5.74,5.65,3.63,3330.6023059632803
908,0.7,Very Good,F,SI1,60.6,60.0,5.71,5.75,3.47,3175.4152504344706
909,0.24,Ideal,H,VS2,61.1,56.0,3.99,4.03,2.45,-393.88702672814475
910,0.57,Very Good,E,VS2,59.5,56.0,5.45,5.47,3.25,2166.6993894972097
911,0.71,Premium,I,SI1,61.7,56.0,5.73,5.71,3.53,3253.0087781988755
912,0.79,Ideal,H,VVS2,62.0,55.9,5.88,5.95,3.67,3873.757000314113
913,0.3,Premium,G,VS1,59.6,59.0,4.38,4.34,2.6,71.67413985828352
914,0.52,Premium,E,VS2,61.6,59.0,5.16,5.14,3.17,1778.731750675187
915,1.22,Very Good,F,VVS2,60.7,62.0,6.81,6.84,4.14,7210.278694183515
916,1.0,Good,D,SI1,64.9,53.0,6.27,6.3,4.08,5503.221083366612
917,0.3,Good,H,VVS1,63.4,57.0,4.27,4.31,2.72,71.67413985828352
918,0.3,Good,E,VS2,64.2,57.0,4.24,4.13,2.69,71.67413985828352
919,0.51,Premium,E,VS2,60.5,56.0,5.24,5.18,3.15,1701.1382229107821
920,1.22,Ideal,H,VVS2,62.7,54.0,6.77,6.83,4.27,7210.278694183515
921,0.56,Ideal,D,VS2,61.2,56.0,5.3,5.35,3.26,2089.105861732806
922,0.53,Ideal,E,VS2,61.4,56.0,5.18,5.25,3.2,1856.3252784395913
923,0.58,Ideal,E,VS2,61.8,57.0,5.32,5.36,3.3,2244.2929172616145
924,0.73,Premium,I,VS1,61.2,59.0,5.84,5.82,3.57,3408.195833727685
925,1.13,Ideal,F,I1,62.2,55.0,6.68,6.63,4.14,6511.936944303872
926,0.7,Very Good,F,VS1,60.5,57.0,5.77,5.8,3.5,3175.4152504344706
927,0.59,Ideal,D,IF,60.7,58.0,5.45,5.49,3.32,2321.8864450260194
928,0.5,Ideal,G,VVS1,62.2,55.0,5.09,5.11,3.17,1623.5446951463773
929,1.07,Very Good,G,VVS2,62.8,57.0,6.46,6.56,4.09,6046.375777717445
930,0.42,Ideal,G,VVS2,62.1,57.0,4.8,4.77,2.97,1002.7964730311396
931,0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,-161.1064434349305
932,1.51,Premium,H,VS1,61.0,60.0,7.29,7.34,4.46,9460.49099935125
933,1.33,Premium,G,SI2,59.2,62.0,7.22,7.16,4.26,8063.807499591967
934,0.53,Ideal,G,VVS1,61.4,57.0,5.18,5.21,3.19,1856.3252784395913
935,0.43,Ideal,F,VVS2,61.9,56.0,4.84,4.82,2.99,1080.3900007955444
936,0.4,Premium,G,VS1,61.3,60.0,4.71,4.66,2.87,847.6094175023304
937,0.9,Very Good,F,SI2,62.0,59.0,6.2,6.1,3.81,4727.285805722566
938,2.07,Fair,D,SI2,64.5,60.0,7.99,7.88,5.12,13805.728554157911
939,1.51,Premium,G,VS2,59.2,61.0,7.48,7.44,4.42,9460.49099935125
940,0.32,Ideal,F,SI1,61.6,55.0,4.41,4.45,2.73,226.86119538709318
941,0.5,Premium,E,SI1,62.3,60.0,5.16,5.08,3.19,1623.5446951463773
942,0.9,Good,G,VS1,61.0,62.0,6.16,6.24,3.78,4727.285805722566
943,0.71,Fair,D,SI1,66.3,56.0,5.61,5.49,3.68,3253.0087781988755
944,1.21,Good,H,SI1,63.8,64.0,6.72,6.63,4.26,7132.685166419109
945,0.32,Premium,E,SI1,62.2,58.0,4.39,4.36,2.72,226.86119538709318
946,0.7,Very Good,F,VS2,61.7,63.0,5.61,5.64,3.47,3175.4152504344706
947,0.42,Ideal,E,VS1,61.6,57.0,4.8,4.84,2.97,1002.7964730311396
948,0.92,Very Good,G,SI2,59.4,62.0,6.34,6.36,3.77,4882.472861251375
949,1.0,Premium,H,SI2,60.0,62.0,6.53,6.51,3.91,5503.221083366612
950,1.09,Ideal,I,VS2,61.8,57.0,6.55,6.59,4.06,6201.562833246255
951,0.56,Premium,I,VVS1,60.6,59.0,5.29,5.33,3.22,2089.105861732806
952,1.01,Fair,E,VS2,66.6,55.0,6.27,6.2,4.15,5580.814611131016
953,2.02,Premium,J,VS2,62.0,59.0,8.06,8.08,5.0,13417.76091533589
954,0.3,Very Good,E,SI2,58.8,60.0,4.39,4.42,2.59,71.67413985828352
955,1.03,Very Good,D,SI2,61.3,61.0,6.46,6.49,3.97,5736.001666659826
956,0.62,Premium,G,VS2,61.1,59.0,5.56,5.5,3.38,2554.667028319234
957,0.83,Good,J,SI1,63.8,58.0,5.97,5.95,3.8,4184.131111371731
958,0.9,Premium,F,SI2,58.9,59.0,6.31,6.26,3.7,4727.285805722566
959,2.04,Very Good,I,SI1,63.1,58.0,8.06,7.99,5.06,13572.9479708647
960,0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,4727.285805722566
961,1.11,Ideal,H,SI1,61.6,56.0,6.69,6.73,4.07,6356.749888775064
962,0.51,Ideal,F,VVS1,61.4,56.0,5.15,5.17,3.17,1701.1382229107821
963,0.28,Good,F,VVS2,64.9,57.0,4.13,4.16,2.69,-83.51291567052567
964,0.52,Very Good,E,VS2,62.5,56.0,5.15,5.18,3.23,1778.731750675187
965,1.2,Ideal,F,VS2,62.3,56.0,6.82,6.79,4.24,7055.091638654705
966,0.29,Ideal,F,VS2,61.6,56.0,4.28,4.32,2.65,-5.919387906121301
967,1.52,Very Good,I,VS2,63.3,61.0,7.27,7.23,4.59,9538.084527115656
968,1.01,Good,D,SI1,63.1,60.0,6.32,6.39,4.01,5580.814611131016
969,1.2,Ideal,F,SI1,61.5,53.0,6.87,6.9,4.24,7055.091638654705
970,0.5,Ideal,F,VVS2,62.2,54.0,5.07,5.12,3.17,1623.5446951463773
971,0.35,Ideal,E,VS2,61.6,56.0,4.54,4.52,2.79,459.64177868030674
972,0.53,Ideal,E,VS2,61.5,56.0,5.18,5.23,3.2,1856.3252784395913
973,0.55,Ideal,F,VS2,60.9,57.0,5.3,5.34,3.24,2011.512333968401
974,2.07,Ideal,J,VVS2,62.7,54.0,8.17,8.12,5.11,13805.728554157911
975,2.01,Premium,E,SI2,58.7,54.0,8.27,8.2,4.83,13340.167387571484
976,0.3,Very Good,D,SI2,61.8,58.0,4.29,4.32,2.66,71.67413985828352
977,0.74,Ideal,G,VVS2,60.9,58.0,5.85,5.88,3.57,3485.78936149209
978,1.02,Very Good,G,SI1,63.0,55.0,6.4,6.45,4.05,5658.408138895422
979,2.0,Premium,I,VS1,61.1,58.0,8.08,8.11,4.95,13262.57385980708
980,1.51,Premium,J,VVS2,62.6,59.0,7.33,7.31,4.58,9460.49099935125
981,0.3,Ideal,F,SI1,60.6,57.0,4.34,4.37,2.64,71.67413985828352
982,0.57,Ideal,E,VS1,61.0,56.0,5.38,5.4,3.29,2166.6993894972097
983,2.15,Ideal,I,SI1,62.5,57.0,8.2,8.16,5.11,14426.47677627315
984,0.97,Premium,F,SI2,61.9,58.0,6.31,6.35,3.92,5270.440500073397
985,1.2,Premium,D,SI2,62.0,58.0,6.84,6.77,4.22,7055.091638654705
986,0.26,Ideal,G,SI1,62.2,54.0,4.11,4.12,2.56,-238.6999711993351
987,1.51,Premium,G,VS2,62.5,59.0,7.34,7.28,4.57,9460.49099935125
988,0.31,Ideal,E,VS2,60.5,56.0,4.41,4.38,2.66,149.26766762268835
989,0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,3873.757000314113
990,0.77,Premium,G,SI2,61.2,58.0,5.99,5.96,3.64,3718.5699447853044
991,0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22,2166.6993894972097
992,0.27,Ideal,G,VVS2,62.8,56.0,4.12,4.16,2.6,-161.1064434349305
993,0.52,Ideal,G,VVS2,61.0,56.0,5.24,5.18,3.18,1778.731750675187
994,0.43,Ideal,G,IF,61.2,57.0,4.81,4.86,2.96,1080.3900007955444
995,0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,2399.479972790424
996,0.36,Premium,D,SI2,61.5,60.0,4.54,4.6,2.81,537.2353064447116
997,0.54,Ideal,E,VVS2,62.2,54.0,5.23,5.26,3.26,1933.9188062039962
998,0.9,Good,J,SI2,63.9,56.0,6.17,6.1,3.92,4727.285805722566
999,1.0,Premium,G,SI2,62.9,60.0,6.35,6.3,3.98,5503.221083366612
1000,1.03,Very Good,G,SI1,62.6,56.0,6.41,6.44,4.02,5736.001666659826
1001,0.53,Very Good,F,SI1,62.5,57.0,5.19,5.24,3.26,1856.3252784395913
1002,0.4,Ideal,G,VVS1,62.0,55.0,4.74,4.78,2.95,847.6094175023304
1003,0.64,Premium,H,SI1,60.0,59.0,5.63,5.57,3.36,2709.8540838480435
1004,0.35,Very Good,H,VS2,60.1,56.0,4.61,4.64,2.78,459.64177868030674
1005,0.9,Premium,H,SI2,59.5,60.0,6.32,6.29,3.75,4727.285805722566
1006,1.09,Good,H,SI1,63.2,57.0,6.54,6.57,4.14,6201.562833246255
1007,0.73,Ideal,I,SI1,61.7,55.0,5.78,5.82,3.58,3408.195833727685
1008,0.9,Very Good,F,VS2,63.1,59.0,6.13,6.05,3.84,4727.285805722566
1009,1.06,Ideal,I,SI2,61.9,59.0,6.47,6.52,4.02,5968.782249953039
1010,0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49,3175.4152504344706
1011,1.01,Very Good,H,SI1,61.8,61.0,6.4,6.47,3.98,5580.814611131016
1012,0.96,Premium,G,SI2,59.3,58.0,6.49,6.43,3.83,5192.846972308993
1013,0.49,Very Good,H,VVS2,62.3,57.0,5.02,5.05,3.14,1545.9511673819725
1014,1.06,Ideal,I,VVS1,60.2,57.0,6.62,6.66,4.0,5968.782249953039
1015,0.54,Good,D,SI1,63.7,57.0,5.22,5.14,3.3,1933.9188062039962
1016,0.52,Very Good,E,SI2,62.6,58.0,5.11,5.14,3.21,1778.731750675187
1017,0.41,Ideal,E,VS1,62.1,56.0,4.78,4.75,2.96,925.2029452667348
1018,0.5,Good,E,VVS2,61.6,62.0,5.04,5.09,3.12,1623.5446951463773
1019,1.06,Ideal,I,SI2,62.7,58.0,6.48,6.5,4.07,5968.782249953039
1020,0.44,Ideal,E,SI1,61.1,56.0,4.92,4.9,3.0,1157.9835285599493
1021,0.73,Ideal,F,VS1,62.6,56.0,5.73,5.71,3.58,3408.195833727685
1022,0.56,Ideal,D,VS2,61.9,57.0,5.26,5.3,3.27,2089.105861732806
1023,0.42,Very Good,D,SI2,63.1,56.0,4.8,4.74,3.01,1002.7964730311396
1024,0.81,Very Good,F,VVS2,63.1,56.0,5.99,5.9,3.75,4028.944055842923
1025,0.72,Ideal,I,VS2,61.8,56.0,5.72,5.77,3.56,3330.6023059632803
1026,0.41,Ideal,D,VS2,62.4,55.0,4.76,4.79,2.98,925.2029452667348
1027,1.01,Very Good,I,SI1,63.3,59.0,6.26,6.22,3.95,5580.814611131016
1028,1.13,Ideal,E,I1,62.0,55.0,6.66,6.7,4.14,6511.936944303872
1029,1.53,Premium,F,VS2,58.5,60.0,7.62,7.56,4.44,9615.67805488006
1030,0.72,Ideal,H,VVS1,62.5,57.0,5.7,5.73,3.57,3330.6023059632803
1031,0.7,Very Good,E,SI2,59.5,56.0,5.79,5.81,3.45,3175.4152504344706
1032,1.09,Very Good,G,VS2,60.9,56.0,6.67,6.7,4.07,6201.562833246255
1033,1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,7210.278694183515
1034,0.31,Ideal,D,VS1,60.5,55.0,4.43,4.39,2.67,149.26766762268835
1035,0.42,Ideal,G,IF,62.7,56.0,4.76,4.77,2.99,1002.7964730311396
1036,0.3,Premium,F,VS2,60.7,58.0,4.35,4.32,2.63,71.67413985828352
1037,1.31,Premium,J,SI1,60.7,58.0,7.11,7.06,4.3,7908.620444063157
1038,1.01,Good,F,SI2,64.3,59.0,6.33,6.26,4.05,5580.814611131016
1039,1.26,Premium,H,SI2,61.3,57.0,6.96,6.87,4.24,7520.652805241134
1040,2.23,Premium,J,SI2,60.5,61.0,8.47,8.4,5.1,15047.224998388388
1041,0.72,Good,F,SI1,60.4,61.0,5.75,5.8,3.49,3330.6023059632803
1042,1.0,Fair,F,VS2,64.7,59.0,6.22,6.15,4.0,5503.221083366612
1043,0.53,Good,I,VS1,64.3,55.0,5.17,5.13,3.31,1856.3252784395913
1044,2.01,Very Good,G,SI1,63.1,59.0,8.03,7.98,5.05,13340.167387571484
1045,0.32,Ideal,D,VVS2,61.3,55.8,4.43,4.44,2.71,226.86119538709318
1046,1.04,Ideal,H,SI1,62.7,54.0,6.51,6.47,4.07,5813.5951944242315
1047,1.22,Ideal,G,IF,61.7,56.0,6.87,6.91,4.25,7210.278694183515
1048,1.0,Good,H,SI1,63.7,60.0,6.33,6.3,4.02,5503.221083366612
1049,0.31,Ideal,D,IF,61.1,56.0,4.39,4.42,2.69,149.26766762268835
1050,2.01,Premium,H,VS2,62.8,58.0,7.99,7.9,4.99,13340.167387571484
1051,0.36,Ideal,F,VS1,61.3,54.0,4.63,4.65,2.84,537.2353064447116
1052,0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92,770.015889737926
1053,0.33,Premium,G,VS1,61.6,58.0,4.44,4.39,2.72,304.45472315149755
1054,0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,226.86119538709318
1055,0.4,Ideal,F,SI2,62.1,54.0,4.75,4.78,2.96,847.6094175023304
1056,1.0,Very Good,D,SI1,62.1,61.0,6.3,6.32,3.92,5503.221083366612
1057,0.33,Fair,H,VVS2,65.1,59.0,4.4,4.32,2.84,304.45472315149755
1058,1.5,Ideal,G,VS1,61.3,56.0,7.41,7.37,4.53,9382.897471586846
1059,0.81,Very Good,I,VS1,63.2,59.0,5.9,5.84,3.71,4028.944055842923
1060,0.32,Very Good,G,VVS1,60.9,57.0,4.41,4.44,2.69,226.86119538709318
1061,1.11,Very Good,H,VS1,63.2,57.0,6.61,6.53,4.15,6356.749888775064
1062,0.5,Ideal,H,VS2,60.8,56.0,5.17,5.19,3.14,1623.5446951463773
1063,0.33,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,304.45472315149755
1064,0.27,Fair,E,VS1,66.4,58.0,3.99,4.02,2.66,-161.1064434349305
1065,1.7,Ideal,H,I1,61.3,55.0,7.7,7.63,4.7,10934.76802687494
1066,0.4,Very Good,E,SI1,60.8,62.0,4.72,4.76,2.88,847.6094175023304
1067,1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,9460.49099935125
1068,0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,71.67413985828352
1069,0.64,Very Good,D,SI1,63.7,54.0,5.47,5.52,3.5,2709.8540838480435
1070,0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,4727.285805722566
1071,1.0,Very Good,H,SI2,60.2,61.0,6.44,6.48,3.89,5503.221083366612
1072,1.01,Ideal,D,VS2,59.8,56.0,6.49,6.52,3.89,5580.814611131016
1073,0.41,Very Good,E,SI1,62.9,57.0,4.72,4.76,2.98,925.2029452667348
1074,1.0,Fair,F,VS2,68.4,58.0,5.97,6.1,4.13,5503.221083366612
1075,0.31,Very Good,G,SI1,61.5,59.0,4.34,4.38,2.68,149.26766762268835
1076,1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,5736.001666659826
1077,1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,5736.001666659826
1078,0.91,Premium,G,VVS2,61.8,58.0,6.24,6.16,3.83,4804.87933348697
1079,0.31,Very Good,E,VVS1,60.0,56.0,4.45,4.49,2.68,149.26766762268835
1080,0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,3951.350528078518
1081,1.02,Very Good,D,SI1,62.7,60.0,6.34,6.39,3.99,5658.408138895422
1082,1.0,Ideal,G,VS1,62.5,54.0,6.41,6.45,4.02,5503.221083366612
1083,0.34,Premium,D,SI1,62.8,58.0,4.48,4.44,2.8,382.0482509159024
1084,1.0,Ideal,G,VS2,62.3,54.0,6.42,6.38,3.99,5503.221083366612
1085,0.73,Ideal,G,VS2,61.7,56.0,5.79,5.81,3.58,3408.195833727685
1086,0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,382.0482509159024
1087,1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,5503.221083366612
1088,0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,1933.9188062039962
1089,1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,5658.408138895422
1090,0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,3951.350528078518
1091,0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,149.26766762268835
1092,2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,13262.57385980708
1093,1.5,Premium,J,VVS2,61.5,60.0,7.31,7.27,4.48,9382.897471586846
1094,1.22,Premium,I,SI2,62.5,58.0,6.8,6.76,4.24,7210.278694183515
1095,0.72,Very Good,I,VS2,61.8,60.0,5.72,5.76,3.55,3330.6023059632803
1096,0.3,Good,G,SI2,63.3,57.0,4.25,4.28,2.7,71.67413985828352
1097,0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,1933.9188062039962
1098,1.02,Premium,F,SI1,62.3,58.0,6.38,6.46,4.0,5658.408138895422
1099,1.01,Very Good,F,VS2,63.1,60.0,6.39,6.29,4.0,5580.814611131016
1100,0.3,Ideal,G,IF,60.9,56.0,4.34,4.36,2.65,71.67413985828352
1101,1.19,Premium,I,SI2,61.6,56.0,6.87,6.83,4.22,6977.498110890299
1102,1.51,Good,I,SI2,63.6,60.0,7.23,7.27,4.61,9460.49099935125
1103,1.02,Good,G,I1,57.4,59.0,6.64,6.6,3.8,5658.408138895422
1104,3.22,Ideal,I,I1,62.6,55.0,9.49,9.42,5.92,22728.984247064454
1105,0.41,Ideal,E,SI1,62.9,57.0,4.76,4.72,2.98,925.2029452667348
1106,0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18,1778.731750675187
1107,1.52,Premium,D,SI1,60.8,61.0,7.39,7.26,4.45,9538.084527115656
1108,0.36,Ideal,H,VVS1,62.0,54.0,4.59,4.61,2.85,537.2353064447116
1109,0.51,Premium,D,SI1,62.7,59.0,5.08,5.06,3.18,1701.1382229107821
1110,0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,1856.3252784395913
1111,1.01,Good,F,SI2,61.3,62.0,6.44,6.48,3.96,5580.814611131016
1112,0.7,Good,F,I1,63.9,60.0,5.65,5.52,3.58,3175.4152504344706
1113,0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,382.0482509159024
1114,1.04,Premium,G,VS2,62.2,58.0,6.49,6.4,4.01,5813.5951944242315
1115,0.39,Premium,E,VS2,60.1,61.0,4.76,4.72,2.85,770.015889737926
1116,1.01,Premium,F,VS1,61.7,58.0,6.4,6.43,3.96,5580.814611131016
1117,0.3,Very Good,F,VVS1,62.6,56.0,4.27,4.29,2.68,71.67413985828352
1118,1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,11012.361554639345
1119,1.1,Premium,H,VS2,61.4,58.0,6.68,6.62,4.08,6279.156361010659
1120,1.15,Ideal,H,SI2,62.6,55.0,6.74,6.65,4.19,6667.12399983268
1121,0.32,Ideal,H,VS1,61.8,55.0,4.41,4.42,2.73,226.86119538709318
1122,2.01,Premium,G,SI2,59.9,62.0,8.15,8.04,4.85,13340.167387571484
1123,0.24,Very Good,G,VVS1,61.7,56.0,3.98,4.02,2.46,-393.88702672814475
1124,0.41,Very Good,E,SI2,62.9,58.0,4.74,4.77,2.99,925.2029452667348
1125,0.28,Very Good,D,VVS1,60.6,58.0,4.23,4.25,2.57,-83.51291567052567
1126,0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,149.26766762268835
1127,0.45,Good,F,VS2,56.8,62.0,5.1,5.14,2.91,1235.577056324354
1128,0.44,Very Good,E,VS1,60.7,58.0,4.88,4.91,2.97,1157.9835285599493
1129,0.37,Ideal,F,VVS1,61.3,56.0,4.65,4.68,2.86,614.8288342091164
1130,0.9,Premium,G,VS2,62.4,61.0,6.17,6.13,3.84,4727.285805722566
1131,0.53,Ideal,F,SI2,62.2,53.0,5.19,5.22,3.24,1856.3252784395913
1132,0.54,Premium,I,IF,58.8,61.0,5.35,5.29,3.13,1933.9188062039962
1133,1.0,Very Good,E,VS2,59.0,58.0,6.49,6.53,3.84,5503.221083366612
1134,0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,226.86119538709318
1135,1.23,Premium,H,SI2,61.2,57.0,6.89,6.86,4.21,7287.872221947919
1136,1.02,Very Good,E,SI2,62.8,55.0,6.4,6.43,4.03,5658.408138895422
1137,0.56,Premium,E,VVS2,59.2,56.0,5.49,5.39,3.22,2089.105861732806
1138,0.43,Ideal,H,IF,62.2,55.0,4.87,4.84,3.02,1080.3900007955444
1139,0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,1778.731750675187
1140,0.38,Very Good,G,SI1,61.8,53.7,4.67,4.69,2.9,692.4223619735212
1141,0.9,Very Good,I,VVS1,63.4,57.0,6.09,6.12,3.87,4727.285805722566
1142,1.72,Premium,H,SI1,62.0,57.0,7.67,7.63,4.74,11089.955082403749
1143,0.31,Very Good,H,SI1,61.7,59.0,4.36,4.39,2.7,149.26766762268835
1144,2.02,Premium,F,SI2,61.0,59.0,8.2,8.13,4.98,13417.76091533589
1145,0.56,Ideal,E,VVS2,61.0,56.0,5.32,5.36,3.26,2089.105861732806
1146,0.42,Ideal,G,IF,62.0,57.0,4.82,4.8,2.98,1002.7964730311396
1147,0.34,Very Good,I,SI1,61.3,61.0,4.45,4.49,2.74,382.0482509159024
1148,0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,1080.3900007955444
1149,1.51,Fair,J,SI1,63.4,60.0,7.31,7.18,4.59,9460.49099935125
1150,0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,226.86119538709318
1151,1.24,Premium,G,VS1,62.0,55.0,6.95,6.89,4.29,7365.465749712324
1152,0.31,Ideal,E,VS1,61.4,56.0,4.38,4.35,2.68,149.26766762268835
1153,1.32,Ideal,G,VVS2,62.3,57.0,6.96,7.04,4.36,7986.213971827561
1154,1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98,5658.408138895422
1155,0.7,Very Good,J,VS2,61.1,61.0,5.64,5.69,3.46,3175.4152504344706
